"Antigen","Infection.Data.Type","Age.Group","Max.Delay","Median","Lower","Upper"
"Vi","Indicator","0-4y",100,66756.6033610847,58609.6544251348,75592.2661027019
"CdtB","Indicator","0-4y",100,38962.68191133,32727.9570633312,45876.5815779817
"LPS02","Indicator","0-4y",100,61587.7412020413,53739.723296731,70052.421595456
"HlyE","Indicator","0-4y",100,95807.1582413161,85947.9903810234,106315.521585405
"LPS09","Indicator","0-4y",100,97867.5150952066,87913.5878527063,108391.641567195
"YncE","Indicator","0-4y",100,47667.3941846391,40972.5499279965,55335.8727814923
"Flic","Indicator","0-4y",100,55975.0026980554,48581.2361949524,64153.7282129352
"Vi","Probability","0-4y",100,53783.816130004,45671.1460103553,62592.9652712403
"CdtB","Probability","0-4y",100,26958.4272730274,21480.8049238636,33464.6086569808
"LPS02","Probability","0-4y",100,45519.3902445101,37900.1967557156,53768.5247823387
"HlyE","Probability","0-4y",100,88749.249148203,78748.1611023781,99416.2927971734
"LPS09","Probability","0-4y",100,83673.8142541619,73659.1577087693,94590.3752100916
"YncE","Probability","0-4y",100,32565.4229171335,26364.3571532443,39444.6414362036
"Flic","Probability","0-4y",100,37576.2614381013,30863.5666483998,45398.4138045235
"Vi","Indicator","5-9y",100,56735.9264887742,47173.6114389198,67330.2779109528
"CdtB","Indicator","5-9y",100,27532.2352595268,20826.2010297807,35585.4261271026
"LPS02","Indicator","5-9y",100,53726.8820650873,44446.0264087305,64195.9711581234
"HlyE","Indicator","5-9y",100,66578.0536739745,56226.4019541548,78117.9997141541
"LPS09","Indicator","5-9y",100,79962.6299317926,68481.0543706989,92668.0684570694
"YncE","Indicator","5-9y",100,42491.0141010169,34281.657253554,51438.3275937842
"Flic","Indicator","5-9y",100,54750.6723790656,45628.9270248078,65200.0748743074
"Vi","Probability","5-9y",100,40807.7387442673,31838.9213726918,50856.7218880653
"CdtB","Probability","5-9y",100,16592.0948899083,11117.1501441814,23678.4167877877
"LPS02","Probability","5-9y",100,32882.1137355977,24667.0305333781,42366.8627282257
"HlyE","Probability","5-9y",100,56011.8138071162,45976.1619967498,67408.2864303348
"LPS09","Probability","5-9y",100,64539.2407173759,53107.4425216405,77272.4573869644
"YncE","Probability","5-9y",100,24313.3612947528,17596.5896050696,32505.96226729
"Flic","Probability","5-9y",100,40917.1381487973,31860.0066755179,51119.8690364869
"Vi","Indicator","10-14y",100,38116.9211563679,28775.4883525227,49185.5074098593
"CdtB","Indicator","10-14y",100,21243.3457611801,14049.5607911686,30149.5419829272
"LPS02","Indicator","10-14y",100,49142.474332871,38418.1462139894,61773.3549341105
"HlyE","Indicator","10-14y",100,50606.8378250992,39717.063242212,63526.6467527586
"LPS09","Indicator","10-14y",100,52897.7599408248,41830.0659805727,65879.7788560997
"YncE","Indicator","10-14y",100,36383.0127536892,27149.7034408625,47352.1918773381
"Flic","Indicator","10-14y",100,36527.9978350839,27289.5181375855,47417.4817022784
"Vi","Probability","10-14y",100,28137.3902098169,19535.1900135705,38936.0546443337
"CdtB","Probability","10-14y",100,11366.5861604158,5927.73151396732,19207.1517792665
"LPS02","Probability","10-14y",100,30619.6096307118,21089.5017227908,42273.4775364999
"HlyE","Probability","10-14y",100,40576.6227735631,30228.3502762991,52909.8941675761
"LPS09","Probability","10-14y",100,44433.7378189313,33182.9514893039,57809.8921109191
"YncE","Probability","10-14y",100,19827.1143581979,12402.8004584617,29001.4921444802
"Flic","Probability","10-14y",100,25230.3134317785,17047.0919295525,35362.3122301082
"Vi","Indicator","15-29y",100,34217.2511202004,26638.4681081755,42840.7120375309
"CdtB","Indicator","15-29y",100,24674.2538180521,17724.0307106684,33255.9881744968
"LPS02","Indicator","15-29y",100,34668.0930740564,26965.3942394806,43213.1978548746
"HlyE","Indicator","15-29y",100,38370.2838971234,30299.100254282,47387.8344733052
"LPS09","Indicator","15-29y",100,42808.2049835224,34262.4972780858,52256.2551531882
"YncE","Indicator","15-29y",100,30432.6040712836,23350.5209442358,38618.684632254
"Flic","Indicator","15-29y",100,27267.4636546521,20669.2590351967,34963.4189338296
"Vi","Probability","15-29y",100,21675.2532938466,15375.4231611077,29587.4328077937
"CdtB","Probability","15-29y",100,10119.0923785969,5528.42840954781,16689.9540323492
"LPS02","Probability","15-29y",100,18598.9698662389,12502.9378597422,26060.4966323791
"HlyE","Probability","15-29y",100,32620.5333826477,24810.5761352051,41532.3675373516
"LPS09","Probability","15-29y",100,30039.6577989491,22258.9037040154,39124.3796766481
"YncE","Probability","15-29y",100,18172.646933473,12500.0051332101,25348.2155441605
"Flic","Probability","15-29y",100,19027.5996842721,13315.5295418257,26262.754241984
"Vi","Indicator","30+",100,30723.5268799107,26052.8755061391,36074.4116238284
"CdtB","Indicator","30+",100,20853.0739830537,16522.3938514703,25939.8156599055
"LPS02","Indicator","30+",100,35396.943536459,30332.1314661259,41028.3633157712
"HlyE","Indicator","30+",100,44055.4380209599,38313.0098532318,50421.2215587549
"LPS09","Indicator","30+",100,42143.3545867973,36567.4754034721,48412.2796679669
"YncE","Indicator","30+",100,30476.0501774372,25809.0367183907,35742.072347834
"Flic","Indicator","30+",100,38412.7561452211,33221.0678335565,44307.8868712184
"Vi","Probability","30+",100,22526.3916817041,18141.0484392192,27600.9468666447
"CdtB","Probability","30+",100,9695.61935830311,6537.61830315658,13744.8186407973
"LPS02","Probability","30+",100,15933.5659402471,11936.8527970008,20670.1496559223
