"Antigen","Infection.Data.Type","Age.Group","Max.Delay","Median","Lower","Upper"
"Vi","Indicator","0-4y",100,57659.2369202542,40752.6584475057,78374.9267574702
"YncE","Indicator","0-4y",100,10014.2346404388,4400.82727379711,19254.7253029073
"HlyE","Indicator","0-4y",100,51705.2745999965,35658.9386323976,71151.3957288496
"Flic","Indicator","0-4y",100,41560.74471787,27905.8341288565,58893.6074320704
"LPS09","Indicator","0-4y",100,96273.1907388332,73249.6270227405,123512.962240874
"CdtB","Indicator","0-4y",100,20865.1700196172,11731.0278096139,33737.8947507672
"LPS02","Indicator","0-4y",100,77960.8539676281,57571.0118876012,102205.682051957
"Vi","Probability","0-4y",100,50272.4813112385,33579.883355633,71225.9540771622
"YncE","Probability","0-4y",100,3332.49223030752,518.647982217526,10341.0228307819
"HlyE","Probability","0-4y",100,31245.4693178435,18576.1971262467,48601.8975960786
"Flic","Probability","0-4y",100,29230.405007001,17118.3959921058,45443.1123281018
"LPS09","Probability","0-4y",100,86651.3581619025,63845.7355786824,114076.854992735
"CdtB","Probability","0-4y",100,12894.1248978534,5470.84949121871,24282.9739227307
"LPS02","Probability","0-4y",100,67881.723165822,47844.7751330345,91994.2055767668
"Vi","Indicator","5-9y",100,67410.7946221178,49857.6660822715,88551.935178843
"YncE","Indicator","5-9y",100,18610.5214289843,10450.5856106632,29836.4973678285
"HlyE","Indicator","5-9y",100,22857.6676879467,13538.4330329729,35315.3095475491
"Flic","Indicator","5-9y",100,21473.7534892561,12570.0362111054,33644.3013241199
"LPS09","Indicator","5-9y",100,67349.4949958869,49708.6435192098,88503.3798715048
"CdtB","Indicator","5-9y",100,15829.2842241329,8563.12555024271,26066.823865627
"LPS02","Indicator","5-9y",100,53560.1299725376,38114.1779275291,72214.8444409214
"Vi","Probability","5-9y",100,63366.7715768999,45366.4352162977,84823.328655198
"YncE","Probability","5-9y",100,12833.0363526019,5966.13364094299,23077.1681864482
"HlyE","Probability","5-9y",100,15474.8119295004,7739.06200247268,27068.026907968
"Flic","Probability","5-9y",100,12060.306183941,5235.21671588934,22310.4115040304
"LPS09","Probability","5-9y",100,55736.9748039643,39024.328772853,75939.488146058
"CdtB","Probability","5-9y",100,11382.8208327076,5252.25570229796,21020.5663183169
"LPS02","Probability","5-9y",100,46788.525820319,31934.0347139171,65561.3290137516
"Vi","Indicator","10-14y",100,27008.8442526746,14798.2845064252,44318.2797373306
"YncE","Indicator","10-14y",100,20189.0584569049,10141.7266200072,35401.3823978639
"HlyE","Indicator","10-14y",100,26492.0228175566,14627.6152721096,43636.3601278945
"Flic","Indicator","10-14y",100,17920.5325732733,8633.77922059566,32533.3117657911
"LPS09","Indicator","10-14y",100,37716.3079809846,22691.775230428,58096.9318803156
"CdtB","Indicator","10-14y",100,24438.1319639724,13171.9136887809,40904.5041370043
"LPS02","Indicator","10-14y",100,26615.6581169854,14678.7853804932,43414.0616485981
"Vi","Probability","10-14y",100,25110.7765392475,12923.3195916197,42523.7722921776
"YncE","Probability","10-14y",100,6213.07629171383,1327.85955833585,16488.1873692027
"HlyE","Probability","10-14y",100,11697.6139214986,3278.15690576704,26726.9339701807
"Flic","Probability","10-14y",100,9797.86210016083,2931.87550740122,22492.1900664489
"LPS09","Probability","10-14y",100,27386.0411208998,14251.8880718774,46538.1360446683
"CdtB","Probability","10-14y",100,9013.03187986695,2173.67800416728,22288.2690867745
"LPS02","Probability","10-14y",100,13441.1665035473,4821.94739648591,27752.1906671987
"Vi","Indicator","15-29y",100,16735.6330104706,8908.50185676635,27828.5324110438
"YncE","Indicator","15-29y",100,19503.2801825385,11072.7796354956,31563.1789560248
"HlyE","Indicator","15-29y",100,13749.135873466,6803.17695868445,23578.9534480715
"Flic","Indicator","15-29y",100,22536.0058896902,13281.6062915167,35246.1893767143
"LPS09","Indicator","15-29y",100,34352.305330692,22783.8630557219,49593.6243997919
"CdtB","Indicator","15-29y",100,19512.2479347323,11188.5343684417,31564.7706981391
"LPS02","Indicator","15-29y",100,31281.0217714027,20175.2398966685,46128.1667342968
"Vi","Probability","15-29y",100,7338.90968741249,2334.40068368947,16030.561396506
"YncE","Probability","15-29y",100,10269.7612391921,4193.42725025742,20295.3694232801
"HlyE","Probability","15-29y",100,3829.9618812536,634.539858777767,11320.270765329
"Flic","Probability","15-29y",100,12159.5545573207,5134.83718358902,22702.5385842678
"LPS09","Probability","15-29y",100,23053.681565996,12759.6026450943,37694.7843009721
"CdtB","Probability","15-29y",100,14067.9622630591,6667.83044418829,24817.4051905329
"LPS02","Probability","15-29y",100,19270.8030094954,10104.0745447404,32715.5584690628
"Vi","Indicator","30+",100,19523.8441335815,12947.4811917303,27892.6097265241
"YncE","Indicator","30+",100,19370.5290211439,12788.0811199148,27766.4070033692
"HlyE","Indicator","30+",100,16968.3455500977,10984.2733508143,24963.0958888028
"Flic","Indicator","30+",100,22601.4556196639,15214.7948954402,31487.1218047947
"LPS09","Indicator","30+",100,33191.6064333136,24171.6742115207,44047.190216013
"CdtB","Indicator","30+",100,17813.4060080864,11663.1759542941,25999.187877129
"LPS02","Indicator","30+",100,29843.7829643784,21264.8307379472,40100.3363298785
"Vi","Probability","30+",100,14377.9750211571,8600.33332043453,22362.2097452521
