"Antigen","Infection.Data.Type","Age.Group","Max.Delay","Median","Lower","Upper"
"HlyE","Indicator","0-4y",100,66623.4929404721,32375.4265106095,121058.112279855
"LPS02","Indicator","0-4y",100,92818.6179369136,50569.9819168527,154641.64368199
"Vi","Indicator","0-4y",100,58689.8749649677,26803.547195771,109376.350018865
"CdtB","Indicator","0-4y",100,102394.085388108,57286.581231483,167240.254567039
"LPS09","Indicator","0-4y",100,92634.4474960194,50468.3093756329,154431.566562814
"YncE","Indicator","0-4y",100,50069.0491405699,21677.943669086,97557.3217354608
"Flic","Indicator","0-4y",100,5555.39207580446,181.839171475155,29167.0730456976
"HlyE","Probability","0-4y",100,59288.8555711094,25523.7434501924,113169.607466768
"LPS02","Probability","0-4y",100,72466.7525162596,30385.7720469799,137833.196881991
"Vi","Probability","0-4y",100,52538.0838322568,20323.5294813113,106816.322404652
"CdtB","Probability","0-4y",100,84265.0696204783,40276.3749307666,148718.341591901
"LPS09","Probability","0-4y",100,87377.6885282393,42551.3658490918,153651.074235854
"YncE","Probability","0-4y",100,46273.2012148612,17772.7400700383,95687.7207780343
"Flic","Probability","0-4y",100,138.632866845001,0.592493867507607,9163.53183647762
"HlyE","Indicator","5-9y",100,40636.7752498358,20679.6157470605,69936.8380867096
"LPS02","Indicator","5-9y",100,32673.6674591116,15557.775169184,59188.8556966487
"Vi","Indicator","5-9y",100,44599.8316625768,23748.8342192332,74183.5305251004
"CdtB","Indicator","5-9y",100,40537.9101068597,20822.594370247,69353.8243596821
"LPS09","Indicator","5-9y",100,48855.065442534,27008.0923188363,79105.2479923901
"YncE","Indicator","5-9y",100,13584.8450640955,4229.29659182322,31804.3076086685
"Flic","Indicator","5-9y",100,3721.69810112994,147.261324896717,20128.9157395374
"HlyE","Probability","5-9y",100,27518.2100663162,10629.8801612041,54836.3498816199
"LPS02","Probability","5-9y",100,13583.7384158455,2610.3198549388,35852.5734031421
"Vi","Probability","5-9y",100,17074.4979143548,3829.75642960174,41911.292269519
"CdtB","Probability","5-9y",100,10221.8711493399,0.0323347495390092,32195.6969757561
"LPS09","Probability","5-9y",100,25951.702675724,7547.55812695569,55331.1633602366
"YncE","Probability","5-9y",100,14.2282325183905,0.443398872159448,4822.8120781136
"Flic","Probability","5-9y",100,3149.27550130891,5.20077676069083,20092.7672667202
